user_id,email,created_at,country
u_1,u_1@mail.com,2025-01-01,PE
u_2,u_2@mail.com,2025-01-01,AR
u_3,u_3@example.com,2025-01-01,US
u_4,u_4@test.org,2025-01-01,PE
u_5,u_5@test.org,2025-01-01,CO
u_6,u_6@mail.com,2025-01-01,AR
u_7,u_7@example.com,2025-01-01,BR
u_8,u_8@mail.com,2025-01-01,AR
u_9,u_9@test.org,2025-01-01,BR
u_10,u_10@test.org,2025-01-01,US
u_11,u_11@test.org,2025-01-01,US
u_12,u_12@example.com,2025-01-01,US
u_13,u_13@test.org,2025-01-01,US
u_14,u_14@test.org,2025-01-01,US
u_15,u_15@mail.com,2025-01-01,US
u_16,u_16@test.org,2025-01-01,BR
u_17,u_17@mail.com,2025-01-01,BR
u_18,u_18@test.org,2025-01-01,ES
u_19,u_19@mail.com,2025-01-01,CO
u_20,u_20@test.org,2025-01-01,US
u_21,u_21@example.com,2025-01-01,ES
u_22,u_22@mail.com,2025-01-01,MX
u_23,u_23@example.com,2025-01-01,MX
u_24,u_24@mail.com,2025-01-01,MX
u_25,u_25@example.com,2025-01-01,US
u_26,u_26@test.org,2025-01-01,PE
u_27,u_27@example.com,2025-01-01,CL
u_28,u_28@mail.com,2025-01-01,CL
u_29,u_29@example.com,2025-01-01,CL
u_30,u_30@mail.com,2025-01-01,PE
u_31,u_31@mail.com,2025-01-01,PE
u_32,u_32@example.com,2025-01-01,CL
u_33,u_33@example.com,2025-01-01,CO
u_34,u_34@mail.com,2025-01-01,US
u_35,u_35@mail.com,2025-01-01,CO
u_36,u_36@mail.com,2025-01-01,MX
u_37,u_37@example.com,2025-01-01,PE
u_38,u_38@test.org,2025-01-01,MX
u_39,u_39@mail.com,2025-01-01,CO
u_40,u_40@example.com,2025-01-01,AR
u_41,u_41@mail.com,2025-01-01,PE
u_42,u_42@example.com,2025-01-01,BR
u_43,u_43@mail.com,2025-01-01,PE
u_44,u_44@example.com,2025-01-01,CO
u_45,u_45@example.com,2025-01-01,PE
u_46,u_46@test.org,2025-01-01,PE
u_47,u_47@test.org,2025-01-01,US
u_48,u_48@example.com,2025-01-01,US
u_49,u_49@test.org,2025-01-01,CO
u_50,u_50@example.com,2025-01-01,MX
u_51,u_51@example.com,2025-01-01,BR
u_52,u_52@mail.com,2025-01-01,ES
u_53,u_53@test.org,2025-01-01,US
u_54,u_54@test.org,2025-01-01,CL
u_55,u_55@test.org,2025-01-01,PE
u_56,u_56@test.org,2025-01-01,MX
u_57,u_57@test.org,2025-01-01,PE
